Feature,F_Score_Norm,MI_Score_Norm,RF_Importance_Norm,GB_Importance_Norm,RFE_Selected,Aggregate_Score
Age,1.0,1.0,1.0,1.0,1,1.0
TenureMonths,0.9921431887270582,0.9420954997988666,0.8781610621552367,0.6259664653740641,1,0.8628796195875101
DaysSinceLastInteraction,0.8509588030728863,0.843686027779561,0.6444815740205707,0.4905765006704873,1,0.7226934848432539
MonthlyCharges,0.7547322134840346,0.779211877761636,0.6023687089284827,0.40798964013509886,1,0.6593784055150296
TotalCharges,0.7526095420082651,0.7420374467055849,0.5935589378656364,0.3130064970099758,1,0.6255707564616731
NumProducts,0.7249792287387223,0.7417400754852014,0.5488520544644631,0.26605338734014583,1,0.597070221295937
SupportCalls,0.7091324061369938,0.7273173706016106,0.5397699500131061,0.25818749809052194,1,0.5867793173736279
SatisfactionScore,0.7026062514588307,0.7183111497892206,0.48431911070855294,0.21798482358317176,1,0.5597594638225415
AvgMonthlyUsageGB,0.6487424928009777,0.6851223675564079,0.3917457383830868,0.15583030874373,1,0.5036669838531813
LatePayments,0.6445705345585613,0.6482816942017788,0.3851913120658175,0.15070709687231693,1,0.4925450479866016
CLV_Proxy,0.5759375150094155,0.639143129261048,0.3408610601973562,0.14849171954670096,1,0.465354323790107
ARPU,0.5708604871099598,0.611943086593789,0.33796160010603193,0.13157412019600734,1,0.4539446448162596
ChargesRatio,0.5289366155066747,0.5998895589122543,0.31231332759645836,0.08561576857213181,1,0.4252475089259333
EngagementScore,0.5262961200324244,0.5972938274039122,0.2851849359433995,0.07827124632004287,1,0.41558203505312796
RiskScore,0.5092550139331152,0.5887541889458882,0.2783425806747059,0.0780592946894077,1,0.40870230941682906
SatisfactionIndex,0.49378506644895664,0.5757185278479002,0.25974153635042907,0.06498767619217083,1,0.39508302199502143
ServiceAdoptionScore,0.4821206696146563,0.5607600112952965,0.25811218001232134,0.0625473688155069,1,0.38874102338894767
PaymentReliability,0.4730376291160163,0.5377952068182372,0.25558849291160707,0.06109763272928966,1,0.3813380985970749
InteractionRecency,0.4714696672947321,0.5358983032654846,0.2496568883000003,0.05972634687808965,1,0.3788194029065659
ContractValueScore,0.469315248400015,0.531125594336798,0.24800572147253303,0.05584073113444327,1,0.37604978169910674
HasPremiumServices,0.4594040255091133,0.5296884155748411,0.2438544287069008,0.05464905612259017,1,0.37244435942416365
HasStreamingServices,0.45222223991069915,0.5293358442785006,0.24176796088733724,0.045594412583159015,1,0.36815221020546407
TotalServicesCount,0.42663049516552876,0.5121396736037789,0.23782239712644967,0.04277488844351668,1,0.3579033551463532
ChargesPerProduct,0.40996414213357407,0.5104939862530498,0.23537622912097875,0.042073126041061025,1,0.3534539644678347
SupportIntensity,0.3932494658380614,0.5048177983127689,0.23295225189347954,0.04120652706905464,1,0.3481531475707996
LatePaymentRate,0.37389754379917367,0.5030356137039169,0.2283114820650477,0.04109373546810162,1,0.34273793588390544
R_Score,0.3738975437991734,0.5026223197204251,0.22756968961215765,0.04070288863003142,1,0.34237211726446704
F_Score,0.3611510099309103,0.4959718107957372,0.21930856418296715,0.039579635960546186,1,0.33614661418120784
M_Score,0.3598609881994757,0.4858159651803279,0.21232618347466936,0.0366555804304381,1,0.33138083165223764
RFM_Score,0.3598609881994757,0.4522744478005897,0.2119241447418734,0.034198050229059036,1,0.3239576359427462
RFM_Segment,0.35171139367922705,0.4514654224978414,0.2089036588606884,0.03242631611913682,0,0.22096785698037
KMeans_Cluster,0.32530075385187973,0.45093729794334814,0.2022464493424236,0.03237152571140403,0,0.21390210412250252
Tenure_MonthlyCharges,0.32530075385187973,0.4460622857725173,0.1984636343715395,0.03223749961848445,0,0.21194789142238538
Age_Tenure,0.32103110933993684,0.4377512326353427,0.19786270777543405,0.03200320090759441,0,0.20922294556581303
Usage_MonthlyCharges,0.3180143763264028,0.4364060157232165,0.19475330429101648,0.030163265297955644,0,0.2071132208071669
LatePayments_MonthlyCharges,0.313866542085013,0.4308531036611927,0.19377389955310842,0.02879415971975544,0,0.2045859439674571
SupportCalls_Tenure,0.28827324526985504,0.42772490944148533,0.19089755754529392,0.028497281651313787,0,0.19804834074142
TenureMonths_Squared,0.2766215294975467,0.42160762858541584,0.19010736559758343,0.028292049673196356,0,0.19424568543428747
MonthlyCharges_Squared,0.2635121186201697,0.42023580172791763,0.18728212101995825,0.028158306639714647,0,0.19060969098453567
Age_Squared,0.2352404203396312,0.4186257563580791,0.18404627659051032,0.028113335950476322,0,0.1838131384747887
TotalCharges_Squared,0.22149882977024857,0.4177306793664626,0.17253187262838665,0.024360732370094677,0,0.17706905307696258
Charges_Per_Month,0.17670457437268708,0.41490869848450757,0.17170593962357736,0.023730749326373052,0,0.16718182680892654
Usage_Per_Dollar,0.1766640227498373,0.4067094099010764,0.15622374999174565,0.022727444340956027,0,0.16141248511335815
Support_Per_Month,0.17489886413929148,0.4046483998772576,0.1541524597480907,0.02018465932541246,0,0.15949373257168561
Products_Per_Month,0.14773982439185107,0.39956380573534367,0.13447043368345132,0.0184729226658203,0,0.1476965651127569
LatePayments_Per_Month,0.1320924535234572,0.3969633419894916,0.11651814841544653,0.01462413537052102,0,0.13859673004908163
Recency_Ratio,0.1253256938929864,0.3859322808071778,0.10599040712976732,0.012259722542649426,0,0.13181412735813702
Age_Group,0.1224667237620919,0.37892715388330755,0.09786217305149732,0.012090501421781334,0,0.12776694414739956
Tenure_Group,0.11849190389518632,0.3762832060490607,0.0698611699574112,0.010765527198555804,0,0.11911169627784116
Revenue_Group,0.11776086443162037,0.3562882481014275,0.06909993065241923,0.010538937897892543,0,0.11471953964418753
Usage_Group,0.11183598247695556,0.35177661088091033,0.06602199456714786,0.010511569377928496,0,0.11185590965784227
Is_HighCharges,0.11074913706793085,0.3508822499363547,0.06429603569266498,0.009308010200670616,0,0.11072728887419103
Is_LowSatisfaction,0.10960906542114213,0.350074548407917,0.06416180573763103,0.008189880040539858,0,0.11002464421035454
Is_HighSupport,0.1090904288823376,0.34450360348345077,0.05890646314764017,0.007287454573881008,0,0.10726728590353798
Is_LatePayment,0.10230555150180291,0.33872097674941315,0.058373436172486824,0.007228693827215014,0,0.10460583815016868
Is_RecentInteraction,0.08729864765727731,0.32123421384231915,0.05792162776806583,0.0071732667334202015,0,0.0979802959252908
Is_LongTenure,0.07630233608708276,0.3146185255385429,0.052765451634574516,0.006046927976706624,0,0.09288726722794544
Recency_Category,0.07534729702798627,0.2981511175547593,0.050328555819979276,0.004944502295926816,0,0.08851794744552563
Has_OnlineSecurity,0.06965104151627514,0.2946496307316484,0.04682583226743664,0.0039310723666633315,0,0.0855493606081097
Has_OnlineBackup,0.0691419035952764,0.28798602124951556,0.04597311220619445,0.00383881458046527,0,0.08387856666562332
Has_TechSupport,0.06578607874580471,0.28762331765281346,0.04112685427783843,0.00306560998128151,0,0.08172999534450362
Has_StreamingTV,0.05882684486788107,0.2873039803490631,0.04016052713290468,0.0030596432085011126,0,0.08003120762874029
Has_StreamingMovies,0.05594137340879059,0.2852053501058671,0.039310739416469495,0.0030056880451108563,0,0.07880845156832664
Total_Services,0.049226281372196465,0.2830001215093591,0.03907882087953502,0.002903745361386713,0,0.07694092213654155
Has_Security_Bundle,0.0428599139751673,0.2731841621096966,0.03815724909795851,0.002789657135239093,0,0.07344554177527217
Has_Entertainment_Bundle,0.0354607504875571,0.2671905550140114,0.03480274913111941,0.0027773107683588356,0,0.06992527607518327
Customer_Lifetime_Value,0.035422591078743806,0.23797960168007706,0.03255297977269351,0.0026324929639937613,0,0.063476806735936
Revenue_Per_Product,0.03361983467027911,0.23679808878507128,0.028559324267962847,0.0025097192378465004,0,0.06185084556752242
Engagement_Score,0.024488324398195753,0.22847473065953602,0.027290906018691233,0.002506175474234654,0,0.058041881384777824
Gender_Encoded,0.02171497120063055,0.22681666674993506,0.025891879659469506,0.002468596541275761,0,0.056796446640299446
City_Encoded,0.020542392173708898,0.224004796478856,0.02586327314399087,0.002407064716849512,0,0.05597702219572308
ContractType_Encoded,0.018225912374524787,0.2171840958705737,0.025622200481315704,0.0018639834327161757,0,0.053953547627527666
PhoneService_Encoded,0.012986033218532794,0.21616120420544346,0.02530176264426459,0.001261098951338434,0,0.05247016288369601
MultipleLines_Encoded,0.012200520306150134,0.2081113391956542,0.02478066882732145,0.0010846233365112454,0,0.050528694941319036
InternetService_Encoded,0.011680921086756085,0.19975500047802788,0.02457498081258905,0.0009185334987176674,0,0.04866056289078348
OnlineSecurity_Encoded,0.011630794921938649,0.19798490154929738,0.024207298736398,0.0008186241486013114,0,0.048179620015497034
OnlineBackup_Encoded,0.011630159433063844,0.18706011221918617,0.024014012056098134,0.0007370427825492507,0,0.045925818040111845
TechSupport_Encoded,0.011055071131819121,0.17078807583695738,0.02389761746031745,0.0006933926784221768,0,0.04251638192844021
StreamingTV_Encoded,0.009588701890875038,0.1698737056887745,0.023392518746745646,0.0006793978977945163,0,0.04191046067706494
StreamingMovies_Encoded,0.005410341167341378,0.16266434534035368,0.023089005183393987,0.0006083604435603776,0,0.03953927870827761
PaymentMethod_Encoded,0.005055539798373176,0.15847870699471206,0.022310153635753272,0.0005012330248178746,0,0.03840969602375984
PaperlessBilling_Encoded,0.0042077633187542225,0.15799524595886807,0.022265211618127317,0.00040524548776673844,0,0.03810821613199797
TenureCategory_Encoded,0.0036134175024204783,0.15506081163825325,0.021329328724673257,0.00028865558601124573,0,0.03713934190580587
AgeGroup_Encoded,0.0023114974702221768,0.1508783399392229,0.020874988745912045,2.0167337819751507e-05,0,0.035861756502821966
ChargesCategory_Encoded,0.001795502944170724,0.14825241917042986,0.020673631493351042,1.9131044532490404e-05,0,0.035182775057391
UsageIntensity_Encoded,0.0016334814441693732,0.13934475265074645,0.020351003080513373,2.347400742545012e-06,0,0.03328398443929714
RFM_Label_Encoded,0.001341110210211566,0.13619230684175115,0.01980113497088647,7.365075393179e-07,0,0.03245715127999899
PaymentMethod_Credit card,0.0011078424358122285,0.12618995948222123,0.01936290428463663,1.1349583934318233e-07,0,0.030300314828725684
PaymentMethod_Electronic check,0.0009901213188125378,0.11603764094465155,0.018470488293981492,0.0,0,0.028023174526188188
PaymentMethod_Mailed check,0.0008963733833810097,0.07708774129330168,0.018366648812781425,0.0,0,0.020188485138531893
InternetService_Fiber,0.0008804057991427389,0.07672197974589164,0.017210089209785978,0.0,0,0.019822999411453372
InternetService_No,0.0006038805534919904,0.07638739319292437,0.017008903109146285,0.0,0,0.019650480526569845
ContractType_Quarterly,0.0004583073929072057,0.06804078109608279,0.016633415056404255,0.0,0,0.017858171461899063
ContractType_Yearly,0.00032324214480635094,0.05947177192743805,0.014199764614777986,0.0,0,0.015508943968143375
City_Isfahan,0.0002887293970643309,0.0558150425771942,0.014114199884692832,0.0,0,0.014749304366024915
City_Karaj,0.00026287293459024443,0.029764396219827575,0.013700346981540322,0.0,0,0.009430540576268645
City_Kermanshah,0.00026116573551243063,0.0,0.013410561389939195,0.0,0,0.003404873494587285
City_Mashhad,0.00023180407904538897,0.0,0.012646037029603156,0.0,0,0.003207870073209867
City_Qom,0.00021762018447919849,0.0,0.012485164375846925,0.0,0,0.003164815130857571
City_Rasht,9.340897811783352e-05,0.0,0.011305992945744166,0.0,0,0.002845180032059608
City_Shiraz,5.982205454659804e-05,0.0,0.007634409678843184,0.0,0,0.0019205668306201155
City_Tabriz,5.607831620266032e-06,0.0,0.0014736120012319909,0.0,0,0.00036952456663205094
City_Tehran,,0.0,0.0,0.0,0,
