feature,importance
ChargesPerProduct,2152
SatisfactionIndex_Raw,2081
SatisfactionScore,1681
Products_Per_Month,1541
RiskScore_Raw,1534
Age,1523
EngagementScore_Raw,1512
Age_Tenure,1486
Usage_Per_Dollar,1469
Recency_Ratio,1462
ARPU,1425
SupportIntensity,1366
Usage_MonthlyCharges,1349
ChargesRatio,1344
AvgMonthlyUsageGB,1298
SupportCalls_Tenure,1289
MonthlyCharges,1271
Tenure_MonthlyCharges,1166
TotalCharges,1106
DaysSinceLastInteraction,1024
LatePayments_MonthlyCharges,960
LatePaymentRate,821
TenureMonths,820
MonthlyCharges_Squared,740
SupportCalls,528
