iter	Logloss
0	0.691899634611	0.691043759822	0.690130144133	0.6888366998
4	0.6882067952
5	0.6870329125
6	0.686281068977	0.6855335358
8	0.6847239018
9	0.6839917758
10	0.6832536271111	0.6824870492112	0.6818154275113	0.6811254271
14	0.6804731832
15	0.6798721906116	0.6794260932117	0.6789249874
18	0.6783784711119	0.67789884320	0.677056772822121	0.6769686612222	0.6765380023	0.675843648
24	024	0.675702925	0.6750001267
26	0.6746685409
27	0.674260133
28	0.28	0.67443329	0.29	0.67412030	0.30	0.67384031	0.31	0.6735232	0.332	0.6732108768
33	0.6729008831334	0.6726235	0.335	0.6723536	0.36	0.67210537	0.637	0.6718738	0.338	0.6716213208339	0.6713540	0.40	0.67132441	0.41	0.67114542	0.42	0.6709424267
43	0.6707344	0.644	0.6705445	0.645	0.6703346	0.646	0.6701547	0.47	0.66996748	048	0.669764149	049	0.669567250	050	0.669411951	51	0.6692667652	52	0.6690815753	53	0.6689144254	0.6681145159
55	0.6679859166
56	0.6677983323
5757	0.6683653658	0.6675553733
59	59	0.66812360	060	0.668003961	0.6671277948
62	062	0.667822563	0.6668861282
64	0.666781185
65	0.66666124
66	0.6665602755
67	0.6667	0.667268	0.6663782326
69	0.6662668148
70	0.6661747671
71	0.6671	0.666872	0.6659543096
73	0.6658482708
74	0.74	0.6664827537
75	0.66640976	0.76	0.66630877	0.77	0.66619278	0.66535561
79	0.665257938
80	0.6651574068
81	0.6650882408
82	0.664974301
83	0.66487883683	0.6654584	0.6655698946
85	0.6655023997
86	0.6654358792
87	0.6653458432
88	0.6652867591
89	0.6652204488
90	0.6651152881
91	0.6650248749
92	0.6649418092
93	0.6648606385
94	0.6647638809
95	0.6646974981
96	0.6646275631
97	0.66456283
98	0.6645082809
99	0.6644261867
100	0.6643621735
101	0.6642846379
102	0.6642108625
103	0.6641513167
104	0.664079999
105	0.663997221
106	0.6639337192
107	0.6638391808
108	0.6637818776
109	0.6637350596
110	0.6636679051
111	0.6635904295
112	0.6635195603
113	0.6634802342
114	0.6634123441
115	0.6633494277
116	0.6632831498
117	0.6632269385
118	0.6631674371
119	0.6631048966
120	0.6630339357
121	0.6629782228
122	0.6629384711
123	0.6628795214
124	0.6628119742
125	0.6627784939
126	0.66127	0.661127	0.66128	0.6618503263
129	0.6618010447
130	0.661130	0.66131	0.661131	0.6624258449
132	0.6623614794
133	0.6623308734
134	0.6622714782
135	0.662219136
136	0.6621750495
137	0.6621317488
138	0.66139	0.661139	0.66140	0.6612303693
141	0.6611517427
142	0.661142	0.66143	0.661143	0.661808199
144	0.6617713949
145	0.6617165262
146	0.6616695956
147	0.661612612148	0.6618087075
149	0.6617597326
150	0.6617136452
15151	0.66141589415152	0.6613464776
153	0.6612770746
154	0.6612249249
155	0.6611763609
156	0.6611503725
157	0.6610962152
158	0.66104179159	0.6612524986
160	0.6612264283
161	0.6611862276
162162	0.6608827269
163	0.6608509543
164	0.660777519
165165	0.6607818305
166	0.66074032167	0.6606610105
168	0.660622858
169	0.6605837485
170	0.6605334373
171	0.6604876507
172	0.6604307787
173	0.6603812868
174	0.6603607283
175	0.660294232
176	0.660221411
177	0.177	0.6602715919
178	0.6602312614
179	0.6601653214
180	0.6601124065
181	0.6600767254
182	0.6600140101
183	0.6599617385
184	0.6599165499
185	0.6598186	0.65971534
187	0.6596468415
188	0.6595778331
189	0.6595209091
190	0.6594711144
191	0.6594301981
192	0.6593724944
193	0.6593282807
194	0.6592984782
195	0.6592639057
196	0.6592135299
197	0.6591641283
198	0.6591119816
199	0.6590702689
200	0.6590236765
201	0.6589703558
202	0.6589247381
203	0.6588925323
204	0.6588603436
205	0.6588000297
206	0.6587637226
207	0.6587382127
208	0.6586860055
209	0.6586628614
210	0.6586267588
211	0.6585905815
212	0.6585429138
213	0.6585063369
214	0.6584673417
215	0.6584056997
216	0.6583664214
217	0.6583233287
218	0.6582805158
219	0.6582460634
220	0.6582106544
221	0.6581717627
222	0.6581171426
223	0.6580765266
224	0.6580278533
225	0.6579917399
226	0.6579583169
227	0.6579071812
228	0.6578530083
229	0.6578206753
230	0.6577674293
231	0.6577259018
232	0.6576939432
233	0.6576542999
234	0.6576201991
235	0.6575804718
236	0.6575415115
237	0.6575105531
238	0.6574664994
239	0.6574239455
240	0.6573912515
241	0.6573634774
242	0.6573181647
243	0.6572609094
244	0.6572124362
245	0.6571746428
246	0.6571155299
247	0.6570644147
248	0.6570303127
249	0.6569862895
250	0.6569376918
251	0.6568966617
252	0.6568662415
253	0.656794069
254	0.6567598976
255	0.6567092
256	0.6566587757
257	0.6566152038
258	0.6565703786
259	0.6565133518
260	0.6564905552
261	0.6564696971
262	0.6564394321
263	0.656398472
264	0.6563616236
265	0.6563213192
266	0.6562711226
267	0.6562295207
268	0.6561872387
269	0.6561500373
270	0.656100665
271	0.6560703056
272	0.6560285949
273	0.6559818529
274	0.6559392792
275	0.655910345
276	0.6558688838
277	0.655831404
278	0.6558130349
279	0.6557751517
280	0.6557381326
281	0.6557077376
282	0.6556645108
283	0.6556160449
284	0.6555652806
285	0.6555243427
286	0.6554866249
287	0.6554411292
288	0.6553855408
289	0.655337832
290	0.6552933037
291	0.6552463451
292	0.6552191881
293	0.6551741604
294	0.6551244021
295	0.6550881808
296	0.6550340324
297	0.6549958293
298	0.654954401
299	0.6549224786
300	0.654872244
301	0.6548134432
302	0.6547775389
303	0.6547349302
304	0.6547027942
305	0.6546743178
306	0.6546399827
307	0.6545953116
308	0.654561159
309	0.6545311028
310	0.6544880918
311	0.6544529022
312	0.6544111874
313	0.6543710194
314	0.6543078527
315	0.6542665984
316	0.6542216483
317	0.6541818094
318	0.6541522195
319	0.6540985127
320	0.6540485154
321	0.6540208324
322	0.6539716719
323	0.6539291787
324	0.653897072
325	0.6538694739
326	0.6538324767
327	0.6537898127
328	0.6537291568
329	0.6536704225
330	0.653620212
331	0.653594537
332	0.6535451223
333	0.6534920336
334	0.6534412613
335	0.6533865789
336	0.6533431859
337	0.6533042586
338	0.653272697
339	0.6532327055
340	0.6531830862
341	0.6531471654
342	0.6531121425
343	0.6530823196
344	0.6530415082
345	0.6529913688
346	0.6529494411
347	0.6529136429
348	0.6528664699
349	0.6528176739
350	0.6527870749
351	0.6527334916
352	0.6526786213
353	0.6526148397
354	0.6525719672
355	0.6525206279
356	0.6524675063
357	0.6524256288
358	0.6523564513
359	0.6523166463
360	0.6522742886
361	0.6522407872
362	0.6522146514
363	0.6521688523
364	0.6521050977
365	0.6520554261
366	0.6519972025
367	0.6519556373
368	0.6519014475
369	0.651838905
370	0.6518012737
371	0.6517514223
372	0.6517016764
373	0.6516497292
374	0.65160777
375	0.6515524148
376	0.6514927448
377	0.6514389802
378	0.6514155306
379	0.651361166
380	0.6513136084
381	0.651252487
382	0.6512172834
383	0.6511625863
384	0.6511217915
385	0.6510783423
386	0.6510223636
387	0.6509732189
388	0.6509183773
389	0.6508781064
390	0.6508567285
391	0.6508034734
392	0.6507506913
393	0.6506901243
394	0.6506267765
395	0.6505723106
396	0.6505127652
397	0.6504566504
398	0.6503934415
399	0.6503438182
400	0.6502847553
401	0.6502514976
402	0.6502005233
403	0.6501351951
404	0.6500949104
405	0.6500416965
406	0.6499922462
407	0.6499454317
408	0.6499017944
409	0.6498685448
410	0.6498277165
411	0.6497832249
412	0.6497275041
413	0.6496661069
414	0.6496115134
415	0.6495721916
416	0.6495366245
417	0.649479467
418	0.6494083396
419	0.649341322
420	0.6492879802
421	0.6492273685
422	0.6491764186
423	0.6491307408
424	0.6490779063
425	0.6490208543
426	0.6489738367
427	0.6489219752
428	0.6488794085
429	0.6488242887
430	0.6487619644
431	0.6487206305
432	0.6486714238
433	0.6486084814
434	0.6485743962
435	0.6485076682
436	0.6484547384
437	0.6483971639
438	0.6483616751
439	0.6482981184
440	0.6482577147
441	0.6482014884
442	0.6481458988
443	0.6480820702
444	0.6480092662
445	0.6479584643
446	0.6479148871
447	0.6478495176
448	0.6477934067
449	0.6477346007
450	0.6476757527
451	0.6476154486
452	0.6475490739
453	0.6474865064
454	0.6474340343
455	0.6473915001
456	0.6473141724
457	0.6472405939
458	0.6471891609
459	0.6471433008
460	0.6470779815
461	0.6470400279
462	0.6469828378
463	0.6469239002
464	0.6468507757
465	0.6468019882
466	0.6467597796
467	0.6467041435
468	0.6466339299
469	0.6465848884
470	0.6465405077
471	0.6464721055
472	0.6464294216
473	0.6463703159
474	0.6463113573
475	0.6462577189
476	0.6461781353
477	0.6461206018
478	0.6460727783
479	0.6460320159
480	0.645974579
481	0.6459326111
482	0.6458685911
483	0.6458089115
484	0.6457553514
485	0.6457005675
486	0.6456343185
487	0.487	0.64581488	0.488	0.64576489	0.489	0.64571490	0.490	0.64564491	0.491	0.64559492	0.492	0.64550493	0.493	0.64546494	0.494	0.64540495	0.495	0.64533496	0.496	0.64528497	0.497	0.64526498	0.498	0.6452499	0.6499	0.645500	0.64500	0.645501	0.64501	0.645502	0.64502	0.644503	0.64503	0.644504	0.64504	0.644505	0.64505	0.6506	0.6445506	0.6447414846
507	0.6446843899
508	0.6509	0.6444509	0.6510	0.6443510	0.6511	0.6443511	0.6444608957
512	0.6513	0.6441513	0.6443494218
514	0.64428732
515	0.6442340502
516	0.6441728126
517	0.6441177388
518	0.6440596832
519	0.6440094242
520	0.6439485388
521	0.6438874998
522	0.643825792
523	0.6437760222
524	0.6437187719
525	0.6436533486
526	0.6435883463
527	0.6435552085
528	0.6435019004
529	0.64342499
530	0.643377674
531	0.6433234283
532	0.6432685528
533	0.6432016631
534	0.6431471529
535	0.643111119
536	0.643051017
537	0.6429836185
538	0.6429287072
539	0.6428817251
540	0.6428519924
541	0.64280267
542	0.6427380497
543	0.642703428
544	0.6426478054
545	0.6425931977
546	0.642551378
547	0.6424956751
548	0.6424290072
549	0.6423732803
550	0.6423301788
551	0.6422722108
552	0.6422243172
553	0.642191768
554	0.6421508745
555	0.6421116653
556	0.6420587956
557	0.6420023641
558	0.64195214
559	0.6418971322
560	0.6418531918
561	0.6418082792
562	0.6417611236
563	0.6417165955
564	0.6416762374
565	0.6416095815
566	0.6415516286
567	0.6414846902
568	0.6414162773
569	0.6413743773
