iter	Passed	Remaining
0	87	78234
1	106	4765222	123	3695433	173	38766
4	187	33486
5	219	32737
6	237	3035977	260	29029
8	270	26738
9	297	26488
10	308	24921111	318	23550112	334	22825113	378	23951
14	387	22883
15	405	22415116	426	22158117	448	21980
18	459	21294119	473	2084920	494	20712
221	527	21059222	544	2075523	570	20808
224	588	2059825	620	20856
26	642	20787
27	652	20325
228	665	19992229	689	20003330	707	19845331	724	19644332	754	19832
33	774	19724
34	790	19537335	800	19208336	829	19345337	845	19183338	876	19343
39	886	19053440	922	19337441	937	19147442	968	19312
43	986	19182444	1003	19064545	1023	18994646	1045	18974747	1065	18924848	1094	19014949	1105	18795050	1133	18865151	1155	18855252	1165	18635353	1179	184754	1211	18617
55	1234	18611
56	1253	18540
5757	1278	185658	1297	18496
5959	1324	18546060	1344	184961	1370	18525
6262	1385	184063	1398	18262
64	1421	18264
65	1436	18146
66	1460	18154
6767	1500	183568	1513	18223
69	1538	18240
70	1551	18111
7171	1573	180972	1590	18018
73	1617	18054
7474	1641	18052
75	1651	17907676	1675	17917777	1698	179078	1702	17692
79	1720	17635
80	1807	18280
81	1830	18264
82	1846	18171
83	1926	18717
8484	2100	20141
85	2111	19981
86	2121	19823
87	2174	20065
88	2299	20950
89	2321	20895
90	2331	20730
91	2342	20571
92	2352	20410
93	2362	20255
94	2372	20106
95	2393	20043
96	2404	19907
97	2423	19834
98	2449	19816
99	2463	19710
100	2480	19625
101	2630	20580
102	2669	20654
103	2696	20639
104	2706	20494
105	2725	20415
106	2746	20351
107	2758	20225
108	2780	20174
109	2790	20043
110	2808	19964
111	2826	19885
112	2836	19758
113	2853	19670
114	2866	19568
115	2881	19473
116	2898	19396
117	2914	19313
118	2926	19206
119	2936	19084
120	2952	19006
121	2972	18957
122	2983	18848
123	3004	18802
124	3021	18735
125	3031	18625
126	3042	185112127	3070	1851128	3082	18421
129	3092	18317
13130	3125	183413131	3142	18284
132	3155	18198
133	3173	18139
134	3192	18089
135	3212	18048
136	3230	17992
137	3250	17946
138	3262	178613139	3279	1780140	3318	17864
141	3329	17770
14142	3364	178014143	3440	18060
144	3455	17994
145	3470	17924
146	3488	17871
147	3506	1781148	3547	17879
149	3558	17791
150	3576	17739
15151	3607	177515152	3668	17909
153	3682	17836
154	3696	17765
155	3713	17711
156	3724	17626
157	3742	17574
158	3761	1752159	3798	17569
160	3810	17489
161	3825	17427
16162	3882	1163	3163	3908	17540
164	3921	1165	3964	17528
166	3974	17446
167	3167	4035	17583
168	4072	17615
169	4083	17534
170	4101	17483
171	4116	1172	4172	4150	17439
173	4179	17439
174	4189	17358
175	4200	17278
176	4211	1177	4287	17392
178	4298	17312
179	4344	17378
180	4357	17311
181	4371	17246
182	4382	17170
183	4393	17096
184	4404	17021
185	4414	16947
186	4186	4443	1187	4187	4524	17136
188	4652	17502
189	4683	17502
190	4694	17426
191	4723	17416
192	4738	17358
193	4755	17307
194	4774	17262
195	4787	17195
196	4802	17137
197	4921	17449
198	4955	17456
199	4966	17382
200	4984	17333
201	4995	17261
202	5007	17192
203	5022	17136
204	5037	17079
205	5050	17013
206	5068	16967
207	5079	16898
208	5089	16826
209	5099	16755
210	5113	16698
211	5128	16644
212	5142	16587
213	5156	16528
214	5166	16461
215	5177	16394
216	5191	16340
217	5204	16282
218	5215	16217
219	5231	16171
220	5245	16114
221	5256	16052
222	5268	15993
223	5278	15929
224	5288	15866
225	5305	15821
226	5317	15766
227	5339	15736
228	5351	15680
229	5366	15633
230	5378	15577
231	5389	15518
232	5400	15460
233	5411	15400
234	5422	15345
235	5435	15291
236	5444	15232
237	5460	15189
238	5470	15130
239	5486	15088
240	5499	15039
241	5512	14987
242	5528	14947
243	5543	14903
244	5556	14853
245	5568	14803
246	5579	14751
247	5589	14695
248	5600	14641
249	5610	14587
250	5621	14536
251	5632	14484
252	5642	14430
253	5654	14381
254	5668	14337
255	5677	14283
256	5686	14228
257	5697	14177
258	5707	14125
259	5719	14079
260	5729	14028
261	5740	13977
262	5753	13936
263	5765	13890
264	5778	13846
265	5788	13795
266	5798	13746
267	5808	13698
268	5821	13656
269	5831	13606
270	5842	13560
271	5853	13515
272	5864	13469
273	5874	13421
274	5884	13374
275	5896	13331
276	5905	13281
277	5916	13238
278	5924	13187
279	5934	13141
280	5944	13095
281	5957	13056
282	5968	13013
283	5979	12970
284	5991	12930
285	6002	12886
286	6012	12842
287	6024	12803
288	6035	12760
289	6048	12721
290	6057	12677
291	6068	12636
292	6079	12594
293	6089	12551
294	6099	12509
295	6113	12474
296	6122	12430
297	6132	12389
298	6141	12345
299	6150	12300
300	6160	12259
301	6169	12217
302	6181	12179
303	6191	12138
304	6202	12099
305	6213	12061
306	6224	12023
307	6234	11983
308	6244	11942
309	6252	11899
310	6259	11854
311	6269	11816
312	6281	11779
313	6290	11740
314	6302	11705
315	6312	11666
316	6322	11628
317	6335	11595
318	6346	11558
319	6356	11520
320	6364	11480
321	6373	11441
322	6382	11400
323	6393	11365
324	6405	11333
325	6414	11294
326	6425	11259
327	6433	11220
328	6443	11183
329	6453	11147
